,fid,plotid,images,mon_images,bfast_change,bfast_magnitude,bfast_means,cusum_change,cusum_confidence,cusum_magnitude,red_mean,red_sd,red_min,red_max,nir_mean,nir_sd,nir_min,nir_max,swir1_mean,swir1_sd,swir1_min,swir1_max,swir2_mean,swir2_sd,swir2_min,swir2_max,ndfi_mean,ndfi_sd,ndfi_min,ndfi_max,brightness,brightne_1,brightne_2,brightne_3,greenness_,greennes_1,greennes_2,greennes_3,wetness_me,wetness_sd,wetness_mi,wetness_ma,bs_slope_max,bs_slope_sd,bs_slope_min,bs_slope_mean,ccdc_change,ccdc_magnitude,aspect,dw_class_mode,dw_tree_prob__max,dw_tree_prob__min,dw_tree_prob__stdDev,dw_tree_prob_mean,elevation,esa_lc20,esa_lc21,esri_lc17,esri_lc18,esri_lc19,esri_lc20,esri_lc21,gfc_gain,gfc_loss,gfc_lossye,gfc_tc00,lang_tree_,potapov_tree_height,slope,tmf_2015,tmf_2016,tmf_2017,tmf_2018,tmf_2019,tmf_2020,tmf_defyea,tmf_degyea,tmf_main,tmf_sub,geometry,lon,lat
0,1,72340,218,112,2016.112,-324.7394714355469,-0.79746025800705,2015.06,0.254294740106536,36589.41175595239,7404.163839285715,2182.9748264833383,0.0,10000.0,7404.163839285715,2182.9748264833383,0.0,10000.0,7404.163839285715,2182.9748264833383,0.0,10000.0,7404.163839285715,2182.9748264833383,0.0,10000.0,7404.163839285715,2182.9748264833383,0.0,10000.0,7404.163839285715,2182.9748264833383,0.0,10000.0,7404.163839285715,2182.9748264833383,0.0,10000.0,7404.163839285715,2182.9748264833383,0.0,10000.0,327.17678487354146,72.00524170666739,546.0768999451678,100.69908812236359,0.0,0.0,359.0,1.0,76.0,4.0,23.0,43.0,272.70684814453125,10.0,10.0,2.0,11.0,11.0,11.0,2.0,0.0,0.0,,86.0,13.0,7.0,18.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-93.45462913900519 17.142443235037838),-93.45462913900519,17.142443235037838
1,2,71059,259,133,2016.09,1072.8775634765625,3.25882625579834,2017.973,0.345074551246437,20410.428428213447,8768.676620121734,990.5147962590509,6601.333333333333,10000.0,8768.676620121734,990.5147962590509,6601.333333333333,10000.0,8768.676620121734,990.5147962590509,6601.333333333333,10000.0,8768.676620121734,990.5147962590509,6601.333333333333,10000.0,8768.676620121734,990.5147962590509,6601.333333333333,10000.0,8768.676620121734,990.5147962590509,6601.333333333333,10000.0,8768.676620121734,990.5147962590509,6601.333333333333,10000.0,8768.676620121734,990.5147962590509,6601.333333333333,10000.0,30.139414122128308,30.132327824060308,110.76335281480976,-64.17199696492236,2020.91,475.67186384896013,261.0,1.0,75.0,13.0,19.0,43.0,431.1521911621094,30.0,30.0,11.0,2.0,2.0,2.0,2.0,0.0,0.0,,90.0,18.0,9.0,18.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-93.01517581198598 17.3882645579122),-93.01517581198598,17.3882645579122
2,3,74276,162,80,-1.0,0.0,0.0,2020.562,0.307913269758214,2994.969791666652,9918.928125,206.50732379724707,9135.0,10000.0,9918.928125,206.50732379724707,9135.0,10000.0,9918.928125,206.50732379724707,9135.0,10000.0,9918.928125,206.50732379724707,9135.0,10000.0,9918.928125,206.50732379724707,9135.0,10000.0,9918.928125,206.50732379724707,9135.0,10000.0,9918.928125,206.50732379724707,9135.0,10000.0,9918.928125,206.50732379724707,9135.0,10000.0,6.939701971066079,12.042935100721548,40.496520647258954,-26.90494269093836,0.0,0.0,63.0,1.0,75.0,71.0,0.0,73.0,897.2023315429688,10.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,97.0,31.0,23.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,POINT (-91.19208126448673 16.588306288025066),-91.19208126448673,16.588306288025066
3,4,74073,163,82,2017.43,-44.50959777832031,-1.215050339698792,2017.211,0.4481363106955,8615.226829268293,9819.89268292683,491.9638348332718,6259.0,10000.0,9819.89268292683,491.9638348332718,6259.0,10000.0,9819.89268292683,491.9638348332718,6259.0,10000.0,9819.89268292683,491.9638348332718,6259.0,10000.0,9819.89268292683,491.9638348332718,6259.0,10000.0,9819.89268292683,491.9638348332718,6259.0,10000.0,9819.89268292683,491.9638348332718,6259.0,10000.0,9819.89268292683,491.9638348332718,6259.0,10000.0,37.718831069043766,11.90470546221268,85.29889361071928,8.306014575183372,0.0,0.0,148.0,1.0,74.0,40.0,4.0,72.0,731.8779296875,10.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,89.0,32.0,23.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,POINT (-91.18846939263345 16.633303076755386),-91.18846939263345,16.633303076755386
4,5,75223,216,119,2015.433,-989.4496459960938,-1.164578914642334,2016.068,0.480115984947968,103537.19861944785,4965.242977190877,4236.738542097628,-4319.0,10000.0,4965.242977190877,4236.738542097628,-4319.0,10000.0,4965.242977190877,4236.738542097628,-4319.0,10000.0,4965.242977190877,4236.738542097628,-4319.0,10000.0,4965.242977190877,4236.738542097628,-4319.0,10000.0,4965.242977190877,4236.738542097628,-4319.0,10000.0,4965.242977190877,4236.738542097628,-4319.0,10000.0,4965.242977190877,4236.738542097628,-4319.0,10000.0,257.1844266294352,136.26295483383848,752.7418079619302,-121.09996777251878,0.0,0.0,130.0,1.0,75.0,9.0,20.0,48.0,802.8175048828125,10.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,63.0,17.0,8.0,17.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-93.82047162583409 16.530253251410254),-93.82047162583409,16.530253251410254
5,6,75418,250,134,2017.578,-452.13751220703125,-0.247415706515312,2020.099,0.079280426690517,72043.25406894102,4208.609008528784,4682.405206191885,-5478.0,10000.0,4208.609008528784,4682.405206191885,-5478.0,10000.0,4208.609008528784,4682.405206191885,-5478.0,10000.0,4208.609008528784,4682.405206191885,-5478.0,10000.0,4208.609008528784,4682.405206191885,-5478.0,10000.0,4208.609008528784,4682.405206191885,-5478.0,10000.0,4208.609008528784,4682.405206191885,-5478.0,10000.0,4208.609008528784,4682.405206191885,-5478.0,10000.0,185.18280402693188,147.5518213365609,751.7070526189573,-306.91785614430586,0.0,0.0,34.0,5.0,75.0,12.0,20.0,39.0,731.6342163085938,20.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,27.0,15.0,9.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-93.82297318152507 16.48525200357888),-93.82297318152507,16.48525200357888
6,7,75227,250,128,2015.17,-544.3851318359375,-0.940001130104065,2016.112,0.280911731061603,88390.68625372027,4611.669624255953,4710.409323513371,-4359.0,10000.0,4611.669624255953,4710.409323513371,-4359.0,10000.0,4611.669624255953,4710.409323513371,-4359.0,10000.0,4611.669624255953,4710.409323513371,-4359.0,10000.0,4611.669624255953,4710.409323513371,-4359.0,10000.0,4611.669624255953,4710.409323513371,-4359.0,10000.0,4611.669624255953,4710.409323513371,-4359.0,10000.0,4611.669624255953,4710.409323513371,-4359.0,10000.0,-93.03963381611696,142.00770825124542,295.86383204056835,-607.0817726083862,2017.425,5599.916986703921,232.0,1.0,76.0,2.0,26.0,42.0,644.7626342773438,10.0,10.0,2.0,2.0,2.0,11.0,11.0,0.0,0.0,,37.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-93.63380027843368 16.519975023482065),-93.63380027843368,16.519975023482065
7,8,75243,305,162,2015.192,149.07443237304688,0.675263285636902,2015.082,0.133550908728113,104999.51644620813,2533.357098765432,5847.9801951221925,-9210.2,9961.0,2533.357098765432,5847.9801951221925,-9210.2,9961.0,2533.357098765432,5847.9801951221925,-9210.2,9961.0,2533.357098765432,5847.9801951221925,-9210.2,9961.0,2533.357098765432,5847.9801951221925,-9210.2,9961.0,2533.357098765432,5847.9801951221925,-9210.2,9961.0,2533.357098765432,5847.9801951221925,-9210.2,9961.0,2533.357098765432,5847.9801951221925,-9210.2,9961.0,492.84075216062905,154.8532550398298,950.638015629121,11.995747534823884,2018.477,4167.053299747573,28.0,5.0,60.0,4.0,12.0,20.0,530.609375,20.0,20.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,,0.0,12.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-92.88711934793312 16.475812086648737),-92.88711934793312,16.475812086648737
8,9,71069,236,124,-1.0,0.0,0.0,2018.499,0.43351134249378,1067.6185291857328,9982.055433947775,48.111622614626995,9674.0,10000.0,9982.055433947775,48.111622614626995,9674.0,10000.0,9982.055433947775,48.111622614626995,9674.0,10000.0,9982.055433947775,48.111622614626995,9674.0,10000.0,9982.055433947775,48.111622614626995,9674.0,10000.0,9982.055433947775,48.111622614626995,9674.0,10000.0,9982.055433947775,48.111622614626995,9674.0,10000.0,9982.055433947775,48.111622614626995,9674.0,10000.0,-3.263951233291378,2.502260219214161,4.271369783824194,-10.336428937421124,0.0,0.0,346.0,1.0,75.0,66.0,1.0,72.0,1104.5633544921875,10.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,95.0,22.0,20.0,19.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1993.0,20.0,23.0,POINT (-92.54599811734451 17.359102037022666),-92.54599811734451,17.359102037022666
9,10,77682,343,196,2017.973,-527.4602661132812,-0.947570979595184,2019.923,0.349201989779711,140389.21111516037,2305.7485787172013,5459.06087887444,-8212.8,9716.142857142857,2305.7485787172013,5459.06087887444,-8212.8,9716.142857142857,2305.7485787172013,5459.06087887444,-8212.8,9716.142857142857,2305.7485787172013,5459.06087887444,-8212.8,9716.142857142857,2305.7485787172013,5459.06087887444,-8212.8,9716.142857142857,2305.7485787172013,5459.06087887444,-8212.8,9716.142857142857,2305.7485787172013,5459.06087887444,-8212.8,9716.142857142857,2305.7485787172013,5459.06087887444,-8212.8,9716.142857142857,164.25667100611008,147.6546887222111,584.1051478296451,-300.31504805111337,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-93.13156726768302 15.588080871625566),-93.13156726768302,15.588080871625566
